,,,,,,,,,,
rank,WSID,OVERALL (team),POS,BYE,BEST,WORST,AVG,STD DEV,ADP,VS. ADP
166,,Jacoby Brissett IND ,QB25 ,6,150,233,197.9,21.8,384,218
167,,Chris Thompson WAS ,RB59 ,10,115,310,172.5,39.4,189,22
168,,Deebo Samuel SF ,WR65 ,4,94,276,182.6,39.9,171,3
169,,Jamaal Williams GB ,RB60 ,11,106,300,168.1,36.5,207,38
170,,Adam Humphries TEN ,WR66 ,11,101,265,187.7,34.7,208,38
171,,Devante Parker MIA ,WR67 ,5,96,287,183.5,35.8,198,27
172,,Parris Campbell IND ,WR68 ,6,99,292,187.9,37,183,11
173,,Giovani Bernard CIN ,RB61 ,9,128,303,183.3,35.3,239,66
174,,Chicago DST,DST1 ,6,97,279,160.3,25.7,89,-85
175,,Tony Pollard DAL ,RB62 ,8,79,380,155.9,50.9,145,-30
176,,LA Rams LAR,DST2 ,9,107,281,171,20,113,-63
177,,Jacksonville DST,DST3 ,10,129,280,171.1,25.3,127,-50
178,,Quincy Enunwa NYJ ,WR69 ,4,127,261,190.7,32.9,249,71
179,,Chris Herndon IV NYJ ,TE20 ,4,105,291,193.9,48.6,197,18
180,,Chase Edmonds ARI ,RB63 ,12,97,329,193.1,42.6,250,70
181,,Baltimore DST,DST4 ,8,129,282,174.4,23.4,130,-51
182,,Minnesota DST,DST5 ,12,124,283,174.8,21.3,123,-59
183,,Malcolm Brown LAR ,RB64 ,9,101,426,184.9,51.1,195,12
184,,Andy Dalton CIN ,QB26 ,9,89,243,191.2,24.4,298,114
185,,LA Chargers LAC,DST6 ,12,135,368,176.2,30.3,147,-38
186,,Zay Jones BUF ,WR70 ,6,112,299,194.7,39.3,196,10
187,,Houston DST,DST7 ,10,143,287,180.2,22.6,160,-27
188,,Nick Foles JAC ,QB27 ,10,104,287,196.6,29.3,209,21
189,,T.J. Hockenson DET ,TE21 ,5,79,291,200,49.9,137,-52
190,,Marquise Brown BAL ,WR71 ,8,77,295,198.4,41.6,178,-12
191,,Mecole Hardman KC ,WR72 ,12,105,318,191.8,42.1,156,-35
192,,Robert Foster BUF ,WR73 ,6,77,296,182.2,48.7,225,33
193,,Dallas Goedert PHI ,TE22 ,10,93,297,205.6,41.3,221,28
194,,Cleveland DST,DST8 ,7,153,294,182.5,20.3,179,-15
195,,Greg Zuerlein LAR ,K1 ,9,122,286,181.4,18.7,118,-77
196,,Justin Tucker BAL ,K2 ,8,138,290,187,21,126,-70
197,,Marcus Mariota TEN ,QB28 ,11,100,296,206.2,31.3,252,55
198,,Harrison Butker KC ,K3 ,12,153,293,187.8,18,144,-54
199,,Jerick McKinnon SF ,RB65 ,4,70,430,189.3,61.3,170,-29
200,,New Orleans DST,DST9 ,9,148,297,188.3,24.4,174,-26
