187,,Eric Ebron (PIT)    ,TE24,121,341,196.6,35.8
188,,Christian Kirk (ARI)     ,WR72,124,268,196.9,26.1
189,,Adam Trautman (NO)     ,TE25,106,369,182.3,48.4
190,,Buffalo Bills (BUF)    ,DST8,145,249,191.9,20.7
191,,New England Patriots (NE)    ,DST9,158,250,190.1,18.4
192,,Amon-Ra St. Brown (DET)      ,WR73,102,337,202.4,41
193,,Greg Zuerlein (DAL)    ,K4,141,261,197.9,14.3
194,,T.Y. Hilton (IND)      ,WR74,95,325,189.5,46.4
195,,Malcolm Brown (MIA)    ,RB55,110,275,194.5,40.8
196,,Carlos Hyde (JAC)    ,RB56,122,336,189.5,43.8
197,,Damien Williams (CHI)    ,RB57,123,334,195.7,42.4
198,,Kansas City Chiefs (KC)    ,DST10,161,287,200.8,22
199,,Salvon Ahmed (MIA)     ,RB58,123,327,195.6,34.1
200,,New Orleans Saints (NO)    ,DST11,152,320,202.7,22.5
201,,Jason Sanders (MIA)    ,K5,176,266,209,13.2
202,,A.J. Green (ARI)    ,WR75,113,304,207.3,28.5
203,,Tarik Cohen (CHI)    ,RB59,80,382,189,65.9
204,,Rhamondre Stevenson (NE)      ,RB60,109,366,194.6,54.5
205,,Jared Goff (DET)    ,QB29,113,334,232.7,45.2
206,,Darius Slayton (NYG)    ,WR76,147,306,214.6,27
207,,Rodrigo Blankenship (IND)    ,K6,177,309,224.4,20.8
208,,Cleveland Browns (CLE)    ,DST12,152,303,219.4,31.3
209,,Tyrell Williams (DET)    ,WR77,97,370,205,54.3
210,,Miami Dolphins (MIA)    ,DST13,159,329,211.2,27.8
211,,Denver Broncos (DEN)    ,DST14,145,307,217.2,26
212,,Tyler Bass (BUF)    ,K7,167,346,224.3,32.3
213,,Justin Jackson (LAC)    ,RB61,126,327,211.7,41.4
214,,Randall Cobb (GB)    ,WR78,97,298,212.4,39.3
215,,Chicago Bears (CHI)    ,DST15,145,318,224.7,26.2
216,,Los Angeles Chargers (LAC)    ,DST16,159,345,221.9,22.4
217,,Marlon Mack (IND)    ,RB62,134,357,213.8,45.3
218,,Matt Prater (ARI)    ,K8,171,330,225.6,16.2
219,,Chuba Hubbard (CAR)    ,RB63,128,346,214.3,39.6
220,,Boston Scott (PHI)    ,RB64,123,357,211.4,42.9
221,,Marquez Valdes-Scantling (GB)    ,WR79,157,315,229.2,30
222,,Robbie Gould (SF)    ,K9,169,298,230.3,19.1
223,,Allen Lazard (GB)    ,WR80,141,298,222,29.9
224,,Jason Myers (SEA)    ,K10,183,283,233.5,14.3
225,,Ryan Succop (TB)    ,K11,176,324,230.8,24.6
226,,Hayden Hurst (ATL)    ,TE26,135,347,221.1,41.3
227,,Darrynton Evans (TEN)    ,RB65,146,360,217.1,44.3
228,,Sammy Watkins (BAL)    ,WR81,99,336,222.7,30.6
229,,Mark Ingram II (HOU)    ,RB66,129,355,220.6,46.4
230,,Teddy Bridgewater (DEN)    ,QB30,121,356,239.6,48.6
231,,Seattle Seahawks (SEA)    ,DST17,159,303,241.7,22.3
232,,Green Bay Packers (GB)    ,DST18,183,301,237.8,17.7
233,,Ty Johnson (NYJ)     ,RB67,98,351,210.6,58.2
234,,Jerick McKinnon (KC)     ,RB68,130,329,231.7,44.2
235,,Mason Crosby (GB)    ,K12,192,309,248.2,19.3
236,,Dawson Knox (BUF)    ,TE27,136,319,235.5,34
237,,KJ Hamler (DEN)     ,WR82,133,363,235.9,30.9
238,,Minnesota Vikings (MIN)    ,DST19,164,318,247.3,21.8
239,,Hunter Renfrow (LV)    ,WR83,147,339,242.1,34.9
240,,Daniel Carlson (LV)    ,K13,181,308,259.1,24.6
241,,O.J. Howard (TB)    ,TE28,132,360,250.4,38.4
242,,Brandon McManus (DEN)    ,K14,197,298,261.2,21.4
243,,Joshua Kelley (LAC)    ,RB69,142,368,231.3,40.8
244,,Dan Arnold (CAR)    ,TE29,135,343,242.2,42.5
245,,Van Jefferson (LAR)    ,WR84,157,337,243.8,29.2
246,,Mac Jones (NE)      ,QB31,118,367,229.1,60.2
247,,Chris Herndon IV (MIN)      ,TE30,153,348,247.9,40.8
248,,Philadelphia Eagles (PHI)     ,DST20,165,317,261.9,25.1
249,,Tim Patrick (DEN)    ,WR85,174,348,254.8,32.6
250,,Chris Boswell (PIT)    ,K15,198,332,276.6,20.6
251,,Josh Reynolds (TEN)    ,WR86,183,330,247.9,30.9
252,,Jake Elliott (PHI)    ,K16,202,342,272.9,27.6
253,,Devontae Booker (NYG)    ,RB70,132,349,234.4,50.4
254,,Nico Collins (HOU)     ,WR87,148,376,249.3,45.2
255,,Denzel Mims (NYJ)    ,WR88,157,369,250.4,47.7
256,,Wil Lutz (NO)    ,K17,148,353,228.8,41.2
257,,DeSean Jackson (LAR)    ,WR89,158,377,252.8,30.5
258,,Dustin Hopkins (WAS)    ,K18,216,332,286,23.5
259,,Kadarius Toney (NYG)     ,WR90,160,355,266.6,37.6
260,,Benny Snell Jr. (PIT)    ,RB71,149,382,247.6,49
261,,New York Giants (NYG)    ,DST21,166,331,274.3,28.5
262,,Tennessee Titans (TEN)    ,DST22,200,318,277.1,24
263,,Arizona Cardinals (ARI)    ,DST23,176,330,276.4,32.4
264,,Josh Lambo (JAC)    ,K19,179,339,291.9,21.8
265,,Taysom Hill (NO)      ,QB32,116,373,300,43.9
266,,Jimmy Garoppolo (SF)    ,QB33,151,385,294.8,45.5
267,,Matt Gay (LAR)    ,K20,195,347,262.8,37.9
268,,Jimmy Graham (CHI)    ,TE31,142,344,272.2,34.8
269,,Anthony Miller (HOU)    ,WR91,194,379,255.5,37.9
270,,Wayne Gallman Jr. (ATL)    ,RB72,132,378,236.7,56.3
271,,John Brown (FA)     ,WR92,129,390,214.9,60.4
272,,Jack Doyle (IND)    ,TE32,172,371,268.7,35.8
273,,Samaje Perine (CIN)     ,RB73,143,346,249.8,50.9
274,,Anthony McFarland Jr. (PIT)    ,RB74,181,388,270.5,40.3
275,,New York Jets (NYJ)     ,DST24,201,347,294.8,24
276,,Justice Hill (BAL)    ,RB75,121,360,269,59.7
277,,Matt Breida (BUF)    ,RB76,168,368,266.9,41.6
278,,James Washington (PIT)    ,WR93,216,383,270.2,26.9
279,,Ka'imi Fairbairn (HOU)    ,K21,215,353,283.3,35.1
280,,Dallas Cowboys (DAL)    ,DST25,211,341,300.4,23.4
281,,Quintez Cephus (DET)    ,WR94,165,361,274.3,36.2
282,,La'Mical Perine (NYJ)    ,RB77,177,368,266.3,44.1
283,,Amari Rodgers (GB)    ,WR95,174,382,277.1,38.8
284,,Graham Gano (NYG)    ,K22,222,353,297.3,26.4
285,,Jeff Wilson Jr. (SF)    ,RB78,146,380,262.3,54.9
286,,Kendrick Bourne (NE)    ,WR96,151,372,280.8,38.1
287,,Jacksonville Jaguars (JAC)    ,DST26,213,347,312.3,19.7
288,,Rashard Higgins (CLE)    ,WR97,216,377,282.2,30.8
289,,Donovan Peoples-Jones (CLE)    ,WR98,147,380,280.3,44.8
290,,Dyami Brown (WAS)    ,WR99,157,378,261.6,51.1
291,,Breshad Perriman (CHI)    ,WR100,129,384,238.6,57
292,,Michael Badgley (FA)    ,K23,198,326,250.5,21
293,,Keelan Cole Sr. (NYJ)    ,WR101,178,409,278.1,44.2
294,,Tyrod Taylor (HOU)    ,QB34,153,385,288.2,48.4
295,,Zach Pascal (IND)    ,WR102,127,377,275.8,41.3
296,,Drew Lock (DEN)    ,QB35,178,383,321.8,36.8
297,,Kyle Rudolph (NYG)    ,TE33,209,393,296.3,33.3
298,,D'Wayne Eskridge (SEA)     ,WR103,173,364,279.3,43.4
299,,Dalton Schultz (DAL)    ,TE34,127,359,271.5,39
300,,Atlanta Falcons (ATL)    ,DST27,229,355,318.9,18.8
